Fecha,Tipo,Número Registro,Nombre Comercial,Cantidad,Unidad,Peso,Valor,Modalidad,Importador,Exportador,Pais Origen,Pais Destino,Puerto Ingreso,Componente IAGT
24/7/2024 7:33,Fertilizantes,10528,Gotablanca 500,30,LITROS,30,588,Exportación,El Colono Agropecuario S.A. ( Panama),CLEARLEAF SOCIEDAD DE RESPONSABILIDAD LIMITADA,COSTA RICA,PANAMÁ,ADUANA DE PASO CANOAS,Ácidos Grasos / Plata expresado (Ag) / Copolímeros de superficie /
24/7/2024 7:33,Fertilizantes,10528,Gotablanca 500,"832,7",LITROS,"832,7","12832,6",Exportación,El Colono Agropecuario S.A. ( Panama),CLEARLEAF SOCIEDAD DE RESPONSABILIDAD LIMITADA,COSTA RICA,PANAMÁ,ADUANA DE PASO CANOAS,Ácidos Grasos / Plata expresado (Ag) / Copolímeros de superficie /
24/7/2024 7:33,Fertilizantes,10528,Gotablanca 500,900,LITROS,900,13869,Exportación,El Colono Agropecuario S.A. ( Panama),CLEARLEAF SOCIEDAD DE RESPONSABILIDAD LIMITADA,COSTA RICA,PANAMÁ,ADUANA DE PASO CANOAS,Ácidos Grasos / Plata expresado (Ag) / Copolímeros de superficie /
24/7/2024 7:33,Fertilizantes,10528,Gotablanca 500,4480,LITROS,4480,"69036,8",Exportación,El Colono Agropecuario S.A. ( Panama),CLEARLEAF SOCIEDAD DE RESPONSABILIDAD LIMITADA,COSTA RICA,PANAMÁ,ADUANA DE PASO CANOAS,Ácidos Grasos / Plata expresado (Ag) / Copolímeros de superficie /
29/7/2024 12:07,Fertilizantes,8402,Colonofertil Sulfato de Magnesio Hepta,30000,KILOGRAMOS,30000,6000,Exportación,El Colono Agropecuario S.A. ( Panama),El Colono Agropecuario S.A,CHINA,PANAMÁ,ADUANA DE PASO CANOAS,Azufre expresado (S) / Magnesio expresado (MgO) /
5/8/2024 11:56,Fertilizantes,9988,Colonofertil Urea,24750,KILOGRAMOS,24750,12100,Exportación,"EL COLONO AGROPECUARIO, S.A (NICARAGUA)",El Colono Agropecuario S.A,RUSIA (FEDERACIÓN RUSA),NICARAGUA,ADUANA DE PEÑAS BLANCAS,Nitrógeno Total expresado (N) /
5/8/2024 14:45,Fertilizantes,9988,Colonofertil Urea,24750,KILOGRAMOS,24750,12100,Exportación,"EL COLONO AGROPECUARIO, S.A (NICARAGUA)",El Colono Agropecuario S.A,RUSIA (FEDERACIÓN RUSA),NICARAGUA,ADUANA DE PEÑAS BLANCAS,Nitrógeno Total expresado (N) /
5/8/2024 14:52,Fertilizantes,9988,Colonofertil Urea,24750,KILOGRAMOS,24750,12100,Exportación,"EL COLONO AGROPECUARIO, S.A (NICARAGUA)",El Colono Agropecuario S.A,RUSIA (FEDERACIÓN RUSA),NICARAGUA,ADUANA DE PEÑAS BLANCAS,Nitrógeno Total expresado (N) /
5/8/2024 15:02,Fertilizantes,9988,Colonofertil Urea,24750,KILOGRAMOS,24750,12100,Exportación,"EL COLONO AGROPECUARIO, S.A (NICARAGUA)",El Colono Agropecuario S.A,RUSIA (FEDERACIÓN RUSA),NICARAGUA,ADUANA DE PEÑAS BLANCAS,Nitrógeno Total expresado (N) /
5/8/2024 15:31,Fertilizantes,9988,Colonofertil Urea,24750,KILOGRAMOS,24750,12100,Exportación,"EL COLONO AGROPECUARIO, S.A (NICARAGUA)",El Colono Agropecuario S.A,RUSIA (FEDERACIÓN RUSA),NICARAGUA,ADUANA DE PEÑAS BLANCAS,Nitrógeno Total expresado (N) /
